idcentro,latitud,localidad,longitud,naturaleza,nombre,tipo
22001243,42.60345307,Broto,-0.12162929,Público,C.R.A. Alto Ara,Colegio Público
22001887,41.52304309,Fraga,0.34153153,Público,San José De Calasanz,Colegio Público
22000721,42.03294138,Barbastro,0.13169369,Público,Alto Aragón,Colegio Público
22001905,41.52296350,Litera,0.36169670,Público,C.P. De Litera,Colegio Público
22001917,41.52323702,Fraga,0.34338947,Público,Ramón J. Sender,Instituto de Educación Secundaria (IES)
22002119,41.94190564,Grañen,-0.36587259,Público,Santiago Apóstol,Colegio Público
22002168,42.19218223,Graus,0.34766589,Público,Baltasar Gracián,Instituto de Educación Secundaria (IES)
22002302,42.14084051,Huesca,-0.41921912,Público,Juan XXIII,Colegio Público
22002338,42.14213234,Huesca,-0.39668045,Público,Pío XII,Colegio Público
22002341,42.13555495,Huesca,-0.40458397,Público,Sancho Ramírez,Colegio Público
22002405,42.14342610,Huesca,-0.40999000,Privado,San José,Centro Privado de Educación Infantil
22002430,42.14230413,Huesca,-0.41180498,Concertado,Salesiano San Bernardo,Centro Privado con varias Enseñanzas de Régimen General
22002466,42.14295113,Huesca,-0.41478377,Concertado,Santa Rosa,Centro Privado con varias Enseñanzas de Régimen General
22002508,42.13897145,Huesca,-0.41625879,Público,Ramón Y Cajal,Instituto de Educación Secundaria (IES)
22002521,42.13578063,Huesca,-0.40271958,Público,Sierra De Guara,Instituto de Educación Secundaria (IES)
22002569,42.13049032,Huesca,-0.41790794,Público,Alcoraz,Colegio Público
22002673,42.56766003,Jaca,-0.55463901,Público,San Juan De La Peña,Colegio Público
22002703,42.56510306,Jaca,-0.55234247,Concertado,Escuelas Pías,Centro Privado con varias Enseñanzas de Régimen General
22002715,42.56759015,Jaca,-0.55048078,Concertado,Santa María,Centro Privado con varias Enseñanzas de Régimen General
22002843,41.76931606,Lanaja,-0.32896263,Público,C.R.A. Monegros Norte,Colegio Público
22003215,41.91217650,Monzon,0.19288372,Público,Joaquín Costa,Colegio Público
50002275,41.51101711,Fuentes De Ebro,-0.62695461,Público,Luis García Saínz,Colegio Público
50002329,41.86606348,Gallur,-1.31663775,Público,María Domínguez,Colegio Público
50002433,41.20984857,Herrera De Los Navarros,-1.08483808,Público,San Jorge,Colegio Público
50002457,41.53985109,Illueca,-1.62616272,Público,Benedicto XIII,Colegio Público
50002810,41.12376149,Maella,0.13766592,Público,Virgen Del Portal,Colegio Público
50003048,41.37553303,Mequinenza,0.30446750,Público,María Quintana,Colegio Público
50003504,41.93345531,Novillas,-1.39603831,Público,San Nicasio,Colegio Público
50003711,41.61922033,Pastriz,-0.78352034,Público,La Portalada,Colegio Público
50003735,41.78682336,Pedrola,-1.21713843,Público,Cervantes,Colegio Público
50003838,41.49071755,Pina De Ebro,-0.52709912,Concertado,Santa María De La Esperanza,Centro Privado con varias Enseñanzas de Régimen General
22004891,42.50256439,Sabiñanigo,-0.36201486,Público,Biello Aragón,Instituto de Educación Secundaria (IES)
22004955,42.13277472,Huesca,-0.40356361,Público,Miguel Hernández,Centro Público de Educación de Personas Adultas (Presenc
22005145,42.14056089,Huesca,-0.40203880,Público,Escuela De Arte,Escuela de Arte
22005364,41.85134931,Binefar,0.29293095,Público,Escuela  De Música,Escuela Pública de Música y/o Danza
22005443,42.51974711,Sabiñanigo,-0.37071858,Público,Conservatorio Elemental De Música,Conservatorio de Música o Danza
22005480,41.90926342,Monzon,0.19598697,Público,Cinca Medio,Centro Público de Educación de Personas Adultas (Presenc
22005492,42.57698836,Jaca,-0.54130491,Público,Jacetania,Centro Público de Educación de Personas Adultas (Presenc
22005509,42.18921387,Graus,0.33678017,Público,Ribagorza,Centro Público de Educación de Personas Adultas (Presenc
22005558,42.44420044,Boltaña,0.06996924,Público,Sobrarbe,Centro Público de Educación de Personas Adultas (Presenc
22005561,42.51932452,Sabiñanigo,-0.36580228,Público,Alto Gállego,Centro Público de Educación de Personas Adultas (Presenc
22005583,41.78911527,Sariñena,-0.15844162,Público,Monegros,Centro Público de Educación de Personas Adultas (Presenc
22005595,41.91647891,Monzon,0.19003721,Público,Ignacio Luzán,Escuela Oficial de Idiomas (EOI)
22005698,41.93034709,Peralta De Alcofea,-0.06742379,Público,C.R.A. A Redolada,Colegio Público
50011586,41.67258142,Zaragoza,-0.88590616,Privado,Fantasía,Centro Privado de Educación Infantil
50011604,41.63877608,Zaragoza,-0.87259500,Privado,Cittá Di Roma,Centro Privado de Música o Danza
50011616,41.65023206,Zaragoza,-0.89996576,Privado,Alfred,Centro Privado de Formación Profesional Específica
50011628,41.65630712,Zaragoza,-0.86474325,Privado,Tic Tac,Centro Privado de Educación Infantil
50011631,41.65366996,Zaragoza,-0.88514831,Privado,Academia Pignatelli,Centro Privado de Formación Profesional Específica
50011641,41.63937149,Zaragoza,-0.90731545,Privado,Angel Mingote,Centro Privado de Música o Danza
50011665,41.12388539,Maella,0.13714480,Público,Sección  Del I.E.S Mar De Aragón,Instituto de Educación Secundaria (IES)
